mlog_loss,mstd,accuracy,params
1.3248938000000001,0.08149402081509513,0.3817672,"{'colsample_bytree': 0.5077350235239795, 'eta': 0.00017024761575990324, 'gamma': 0.23444005725022493, 'max_depth': 15, 'min_child_weight': 1.1273235290481431, 'n_estimators': 3288.660000689897, 'reg_lambda': 0.6588728836789156, 'subsample': 0.9424481097508846}"
1.3162448,0.0839257139322344,0.3843422,"{'colsample_bytree': 0.44426794627703775, 'eta': 0.00018956677315406546, 'gamma': 0.015567606687531942, 'max_depth': 15, 'min_child_weight': 1.1352385073392255, 'n_estimators': 3237.651984464935, 'reg_lambda': 0.6913056507588001, 'subsample': 0.9880800090737426}"
1.3104550000000001,0.08560150658285279,0.3883564,"{'colsample_bytree': 0.46025169240512387, 'eta': 0.00018509868997567715, 'gamma': 0.10256950618860433, 'max_depth': 11, 'min_child_weight': 1.111801091166224, 'n_estimators': 1823.594643449958, 'reg_lambda': 0.7160374787957572, 'subsample': 0.9283131597546587}"
1.3019588,0.08799263972346232,0.37803859999999995,"{'colsample_bytree': 0.5950851271980357, 'eta': 0.0001820305694800379, 'gamma': 0.08102059301545647, 'max_depth': 13, 'min_child_weight': 1.1139481397279611, 'n_estimators': 3178.996927135983, 'reg_lambda': 0.7438857941707654, 'subsample': 0.970598895994792}"
1.2894048,0.09148073270575466,0.3863512,"{'colsample_bytree': 0.46990972460207403, 'eta': 0.00020205517688608957, 'gamma': 0.0522756822840838, 'max_depth': 12, 'min_child_weight': 1.1392245587327132, 'n_estimators': 2158.9538936980634, 'reg_lambda': 0.6995879022117817, 'subsample': 0.9793814863401888}"
1.1469334,0.13028220787890987,0.3791886,"{'colsample_bytree': 0.5169472262157571, 'eta': 0.0003722499075091998, 'gamma': 0.19273253406793403, 'max_depth': 14, 'min_child_weight': 1.0597968008454814, 'n_estimators': 2508.395013567332, 'reg_lambda': 0.7200096275000845, 'subsample': 0.979264202767942}"
1.0799074000000002,0.14731967934369414,0.37975980000000004,"{'colsample_bytree': 0.5212377945839466, 'eta': 0.0004990258151733114, 'gamma': 0.17678148175513286, 'max_depth': 14, 'min_child_weight': 1.1254296983409917, 'n_estimators': 1890.0407743065273, 'reg_lambda': 0.7540108637483058, 'subsample': 0.9806286445066433}"
1.0395498,0.15682491426063658,0.37689059999999996,"{'colsample_bytree': 0.45757332201887774, 'eta': 0.0006022027467018449, 'gamma': 0.0008331994342793499, 'max_depth': 15, 'min_child_weight': 1.1418788617623923, 'n_estimators': 2978.8737428127974, 'reg_lambda': 0.7178765481613009, 'subsample': 0.9821036032273759}"
1.0296468,0.15917969535479723,0.378612,"{'colsample_bytree': 0.5592838983927643, 'eta': 0.0006045617538692916, 'gamma': 0.12327727924690755, 'max_depth': 12, 'min_child_weight': 1.109091509981775, 'n_estimators': 3489.251381732888, 'reg_lambda': 0.7332809521681978, 'subsample': 0.9842228460422552}"
1.0280462,0.15938055264023673,0.37918219999999997,"{'colsample_bytree': 0.5123794837829126, 'eta': 0.0006501270650448735, 'gamma': 0.19173830581418588, 'max_depth': 13, 'min_child_weight': 1.1279157224073901, 'n_estimators': 2286.374025259811, 'reg_lambda': 0.7833322675100651, 'subsample': 0.9250940557571544}"
