accuracy,std,params
0.528823974798023,0.01130657600894935,"{'colsample_bytree': 0.5540017154770605, 'eta': 0.466252174273857, 'gamma': 0.05938110570240504, 'max_depth': 12, 'min_child_weight': 1.6791044092312595, 'n_estimators': 1536.4762749382653, 'reg_lambda': 0.840989254466127, 'subsample': 0.5138082349897838}"
0.536300073517084,0.032234016643541884,"{'colsample_bytree': 0.5526131586213436, 'eta': 0.3125945493637447, 'gamma': 0.09863470038761786, 'max_depth': 9, 'min_child_weight': 1.9214876140999728, 'n_estimators': 292.571810305382, 'reg_lambda': 0.8869283708815175, 'subsample': 0.5589764799104768}"
0.5371129202199603,0.005384092555451252,"{'colsample_bytree': 0.9302124540541732, 'eta': 0.4876371905286038, 'gamma': 0.2123616062333661, 'max_depth': 7, 'min_child_weight': 1.3914756449244254, 'n_estimators': 967.4917793476387, 'reg_lambda': 0.7700065735490511, 'subsample': 0.7024229535293907}"
0.5394199468389177,0.00969815705007099,"{'colsample_bytree': 0.5876084674030935, 'eta': 0.2802981299827506, 'gamma': 0.025017699107965398, 'max_depth': 8, 'min_child_weight': 1.9468865114794576, 'n_estimators': 1226.0873835653451, 'reg_lambda': 0.7915752258856403, 'subsample': 0.6607419634353116}"
0.5399889511873874,0.00596537714268827,"{'colsample_bytree': 0.5406771921105799, 'eta': 0.3924264166143208, 'gamma': 0.08269189016987583, 'max_depth': 7, 'min_child_weight': 1.4140753346863304, 'n_estimators': 826.9319386729634, 'reg_lambda': 0.621156726493391, 'subsample': 0.8831192482835851}"
0.5408243306142564,0.011099407871531528,"{'colsample_bytree': 0.5369382819947457, 'eta': 0.044777476982390506, 'gamma': 0.11024280187490385, 'max_depth': 8, 'min_child_weight': 1.6317719022153523, 'n_estimators': 1133.984334162299, 'reg_lambda': 0.9292507469298867, 'subsample': 0.40199199236834443}"
0.5411132901916191,0.022766849913980772,"{'colsample_bytree': 0.8721921516336485, 'eta': 0.36971261609829975, 'gamma': 0.3217195111085075, 'max_depth': 14, 'min_child_weight': 1.4328647950930073, 'n_estimators': 1292.2517173602043, 'reg_lambda': 0.6440975025647095, 'subsample': 0.5534778621102372}"
0.5416925624754301,0.012533531093076056,"{'colsample_bytree': 0.6363229752186008, 'eta': 0.28441053081427115, 'gamma': 0.00024352107696696407, 'max_depth': 11, 'min_child_weight': 1.5888510199699264, 'n_estimators': 1597.148604070801, 'reg_lambda': 0.7748351277193288, 'subsample': 0.5394436716386399}"
0.5434158664649104,0.005849907316022166,"{'colsample_bytree': 0.6278428352600363, 'eta': 0.21797040914274096, 'gamma': 0.1750327313497429, 'max_depth': 10, 'min_child_weight': 1.6634235450104415, 'n_estimators': 935.9509434485714, 'reg_lambda': 0.7646915405516519, 'subsample': 0.6281695953639126}"
0.5437402120547563,0.026771210453566247,"{'colsample_bytree': 0.7446522285546174, 'eta': 0.0940277555171405, 'gamma': 0.11464925652113545, 'max_depth': 9, 'min_child_weight': 1.4790809588259153, 'n_estimators': 1121.6508612995885, 'reg_lambda': 0.864785448935228, 'subsample': 0.45648820718545224}"
